llm_name,overall,overall_rank,accuracy,accuracy_rank,informativeness,informativeness_rank,fluency,fluency_rank,logicality,logicality_rank,harmlessness,harmlessness_rank
GPT4.0,2.917,1,2.803,1,2.882,1,3.000,2,2.901,1,3.000,1
GPT3.5,2.878,2,2.717,2,2.807,2,3.000,2,2.868,2,2.998,4
Baichuan-7B-Align,2.821,3,2.651,3,2.709,3,2.998,3,2.753,3,2.993,7
Xunfei-Xinhuo,2.724,4,2.427,5,2.564,4,2.987,6,2.646,5,2.996,5
Chinese-LLAMA-7B,2.723,5,2.431,4,2.549,5,2.993,5,2.646,5,2.998,4
Ali-Tongyiqianwen,2.646,6,2.309,7,2.403,7,2.983,7,2.542,6,2.991,8
ChatGLM-6B,2.644,7,2.312,6,2.442,6,2.956,10,2.518,8,2.989,9
NewBing,2.622,8,2.263,8,2.320,8,2.996,4,2.531,7,2.998,4
Linly-ChatFlow-13B,2.534,9,2.158,9,2.257,9,2.928,11,2.351,11,2.976,10
MOSS-16B,2.518,10,2.109,10,2.173,10,2.974,8,2.370,9,2.965,12
MOSS-w-Plugin-16B,2.506,11,2.101,11,2.150,11,2.963,9,2.352,10,2.967,11
ChatYuan-Large,2.411,12,1.961,12,2.056,12,2.851,12,2.195,12,2.994,6
