llm_name,overall,overall_rank,accuracy,accuracy_rank,informativeness,informativeness_rank,fluency,fluency_rank,logicality,logicality_rank,harmlessness,harmlessness_rank
GPT4.0,2.833,1,2.709,1,2.817,1,2.870,1,2.832,1,2.937,3
GPT3.5,2.789,2,2.616,2,2.742,2,2.850,2,2.785,2,2.954,2
Xunfei-Xinhuo,2.639,3,2.391,4,2.523,3,2.745,3,2.633,3,2.904,5
Baichuan-7B-Align,2.633,4,2.401,3,2.453,5,2.720,4,2.627,4,2.964,1
ChatGLM-6B,2.597,5,2.323,5,2.504,4,2.703,5,2.555,5,2.899,6
Chinese-LLAMA-7B,2.571,6,2.293,6,2.394,6,2.696,6,2.553,6,2.919,4
Ali-Tongyiqianwen,2.523,7,2.203,7,2.339,7,2.670,7,2.530,8,2.875,8
NewBing,2.464,8,2.127,8,2.144,8,2.607,8,2.550,7,2.892,7
MOSS-16B,2.337,9,1.994,9,2.054,11,2.498,10,2.288,10,2.849,9
Linly-ChatFlow-13B,2.312,11,1.966,11,2.067,10,2.408,12,2.288,10,2.830,11
ChatYuan-Large,2.312,11,1.933,12,2.095,9,2.458,11,2.247,12,2.826,12
MOSS-w-Plugin-16B,2.310,12,1.966,11,1.964,12,2.499,9,2.285,11,2.834,10
